session;uai;nom_de_l_etablissement;commune;departement;academie;secteur;nb_candidats_g;taux_de_reussite_g;va_du_taux_de_reussite_g;nb_candidats_p;taux_de_reussite_p;note_a_l_ecrit_g;va_de_la_note_g;note_a_l_ecrit_p;taux_d_acces_6eme_3eme;part_presents_3eme_ordinaire_total;part_presents_3eme_ordinaire_g;part_presents_3eme_ordinaire_p;part_presents_3eme_segpa_total;nb_mentions_ab_g;nb_mentions_b_g;nb_mentions_tb_g;nb_mentions_global_g
2023;0010008D;COLLEGE SAINT-EXUPERY;VALSERHONE;AIN;LYON;PU;133;92.0;1.0;14;79.0;10.9;-0.4;6.6;96.0;97.0;;;81.0;28;33;32;93
2023;0010024W;COLLEGE GEORGES CHARPAK;GEX;AIN;LYON;PU;150;88.0;-6.0;16;81.0;11.6;0.2;7.8;88.0;90.0;;;93.0;30;25;52;107
2023;0010036J;COLLEGE ROGER VAILLAND;PONCIN;AIN;LYON;PU;93;84.0;-10.0;;;11.5;-0.5;;97.0;98.0;;;;16;20;24;60
2023;0010040N;COLLEGE LOUIS VUITTON;SAINT TRIVIER DE COURTES;AIN;LYON;PU;72;81.0;-10.0;;;10.4;-0.4;;88.0;100.0;;;;12;21;12;45
2023;0010066S;COLLEGE JEAN MOULIN;SAINT DIDIER DE FORMANS;AIN;LYON;PU;144;93.0;-3.0;;;12.7;0.1;;97.0;94.0;;;;22;33;60;115
2023;0010082J;COLLEGE PRIVE SAINT PIERRE;BOURG EN BRESSE;AIN;LYON;PR;210;100.0;2.0;;;13.8;0.9;;85.0;100.0;;;;25;67;115;207
2023;0010084L;COLLEGE PRIVE SAINT CHARLES;CHATILLON SUR CHALARONNE;AIN;LYON;PR;33;88.0;-6.0;;;11.0;0.2;;71.0;92.0;;;;3;13;1;17
2023;0010095Y;COLLEGE PRIVE SAINT JOSEPH;SAINT DIDIER SUR CHALARONNE;AIN;LYON;PR;119;97.0;2.0;;;11.5;-0.5;;92.0;98.0;;;;34;42;21;97
2023;0010938P;COLLEGE LES COTES;PERONNAS;AIN;LYON;PU;126;90.0;-4.0;16;88.0;12.0;0.0;9.2;94.0;98.0;;;50.0;19;38;40;97
2023;0011066D;COLLEGE LOUIS DUMONT;VALSERHONE;AIN;LYON;PU;127;76.0;-8.0;;;10.7;0.9;;90.0;95.0;;;;23;22;22;67
2023;0011067E;COLLEGE SABINE ZLATIN;BELLEY;AIN;LYON;PU;185;84.0;-8.0;18;56.0;10.7;-0.6;6.9;92.0;96.0;;;87.0;34;49;41;124
2023;0011150V;COLLEGE PRIVE INSTITUTION SAINTE ANNE - LAMARTINE;BELLEY;AIN;LYON;PR;90;97.0;2.0;;;11.9;-0.1;;88.0;100.0;;;;23;24;32;79
2023;0011275F;COLLEGE THOMAS RIBOUD;BOURG EN BRESSE;AIN;LYON;PU;103;79.0;-14.0;10;10.0;11.4;0.2;6.7;89.0;96.0;;;;10;22;27;59
2023;0011325K;COLLEGE THEODORE ROSSET;MONTREAL LA CLUSE;AIN;LYON;PU;158;90.0;-3.0;;;12.4;0.5;;97.0;98.0;;;;27;46;48;121
2023;0020004U;COLLEGE JOSQUIN DES PRES;BEAUREVOIR;AISNE;AMIENS;PU;63;90.0;0.0;;;11.9;0.9;;97.0;95.0;;;;9;22;16;47
2023;0020029W;COLLEGE ALEXANDRE DUMAS;VILLENEUVE SUR AISNE;AISNE;AMIENS;PU;63;86.0;-8.0;;;11.5;-0.2;;99.0;98.0;;;;10;22;14;46
2023;0020037E;COLLEGE SUZANNE DEUTSCH DE LA MEURTHE;MOY DE L AISNE;AISNE;AMIENS;PU;78;82.0;-10.0;;;12.0;0.7;;92.0;100.0;;;;12;23;16;51
2023;0020046P;COLLEGE DE LA CHESNOYE;SAINT GOBAIN;AISNE;AMIENS;PU;65;92.0;-1.0;6;100.0;11.8;0.6;13.6;96.0;99.0;;;;17;21;16;54
2023;0020067M;COLLEGE CONDORCET;VERVINS;AISNE;AMIENS;PU;81;89.0;-1.0;13;77.0;11.4;0.6;8.3;94.0;97.0;;;62.0;9;27;21;57
2023;0020076X;COLLEGE JEAN MOULIN;SAINT QUENTIN;AISNE;AMIENS;PU;66;76.0;-7.0;;;8.6;-1.1;;88.0;86.0;;;;17;8;11;36
2023;0020080B;COLLEGE PIERRE DE LA RAMEE;SAINT QUENTIN;AISNE;AMIENS;PU;124;84.0;-8.0;;;11.9;0.5;;91.0;90.0;;;;17;26;44;87
2023;0020484R;COLLEGE PRIVE DE L ENFANT JESUS;HIRSON;AISNE;AMIENS;PR;34;100.0;7.0;;;12.7;1.7;;66.0;100.0;;;;9;8;15;32
