TYPECOM,COM,REG,DEP,NCC,LIBELLE
COM,01001,84,01,ABERGEMENT CLEMENCIAT,L'Abergement-Clémenciat
COM,01002,84,01,ABERGEMENT DE VAREY,L'Abergement-de-Varey
COM,01004,84,01,AMBERIEU EN BUGEY,Ambérieu-en-Bugey
COM,01005,84,01,AMBERIEUX EN DOMBES,Ambérieux-en-Dombes
COM,01006,84,01,AMBLEON,Ambléon
COM,01007,84,01,AMBRONAY,Ambronay
COM,01008,84,01,AMBUTRIX,Ambutrix
COM,01009,84,01,ANDERT ET CONDON,Andert-et-Condon
COM,01010,84,01,ANGLEFORT,Anglefort
COM,01011,84,01,APREMONT,Apremont
COM,01012,84,01,ARANC,Aranc
COM,01013,84,01,ARANDAS,Arandas
COM,01014,84,01,ARBENT,Arbent
COM,01015,84,01,ARBOYS EN BUGEY,Arboys en Bugey
COMD,01015,,,ARBIGNIEU,Arbignieu
COM,01016,84,01,ARBIGNY,Arbigny
COM,01017,84,01,ARGIS,Argis
COM,01019,84,01,ARMIX,Armix
COM,01021,84,01,ARS SUR FORMANS,Ars-sur-Formans
COM,01022,84,01,ARTEMARE,Artemare
COM,01023,84,01,ASNIERES SUR SAONE,Asnières-sur-Saône
COM,01024,84,01,ATTIGNAT,Attignat
COM,01025,84,01,BAGE DOMMARTIN,Bâgé-Dommartin
COMD,01025,,,BAGE LA VILLE,Bâgé-la-Ville
COM,01026,84,01,BAGE LE CHATEL,Bâgé-le-Châtel
COM,01027,84,01,BALAN,Balan
COM,01028,84,01,BANEINS,Baneins
COM,01029,84,01,BEAUPONT,Beaupont
COM,01030,84,01,BEAUREGARD,Beauregard
COM,01031,84,01,BELLIGNAT,Bellignat
COM,01032,84,01,BELIGNEUX,Béligneux
COM,01033,84,01,VALSERHONE,Valserhône
COMD,01033,,,BELLEGARDE SUR VALSERINE,Bellegarde-sur-Valserine
COM,01034,84,01,BELLEY,Belley
COM,01035,84,01,BELLEYDOUX,Belleydoux
COM,01036,84,01,VALROMEY SUR SERAN,Valromey-sur-Séran
COMD,01036,,,BELMONT LUTHEZIEU,Belmont-Luthézieu
COM,01037,84,01,BENONCES,Bénonces
COM,01038,84,01,BENY,Bény
COMD,01039,,,BEON,Béon
COM,01040,84,01,BEREZIAT,Béréziat
COM,01041,84,01,BETTANT,Bettant
COM,01042,84,01,BEY,Bey
COM,01043,84,01,BEYNOST,Beynost
COM,01044,84,01,BILLIAT,Billiat
COM,01045,84,01,BIRIEUX,Birieux
COM,01046,84,01,BIZIAT,Biziat
COM,01047,84,01,BLYES,Blyes
COM,01049,84,01,BOISSE,La Boisse
COM,01050,84,01,BOISSEY,Boissey
COM,01051,84,01,BOLOZON,Bolozon
COM,01052,84,01,BOULIGNEUX,Bouligneux
COM,01053,84,01,BOURG EN BRESSE,Bourg-en-Bresse
COM,01054,84,01,BOURG SAINT CHRISTOPHE,Bourg-Saint-Christophe
COM,01056,84,01,BOYEUX SAINT JEROME,Boyeux-Saint-Jérôme
COM,01057,84,01,BOZ,Boz
COM,01058,84,01,BREGNIER CORDON,Brégnier-Cordon
COMD,01059,,,BRENAZ,Brénaz
COM,01060,84,01,BRENOD,Brénod
COM,01061,84,01,BRENS,Brens
COM,01062,84,01,BRESSOLLES,Bressolles
COM,01063,84,01,BRION,Brion
COM,01064,84,01,BRIORD,Briord
COM,01065,84,01,BUELLAS,Buellas
COM,01066,84,01,BURBANCHE,La Burbanche
COM,01067,84,01,CEIGNES,Ceignes
COM,01068,84,01,CERDON,Cerdon
COM,01069,84,01,CERTINES,Certines
COM,01071,84,01,CESSY,Cessy
COM,01072,84,01,CEYZERIAT,Ceyzériat
COM,01073,84,01,CEYZERIEU,Ceyzérieu
COM,01074,84,01,CHALAMONT,Chalamont
COM,01075,84,01,CHALEINS,Chaleins
COM,01076,84,01,CHALEY,Chaley
COM,01077,84,01,CHALLES LA MONTAGNE,Challes-la-Montagne
COM,01078,84,01,CHALLEX,Challex
COM,01079,84,01,CHAMPAGNE EN VALROMEY,Champagne-en-Valromey
COM,01080,84,01,CHAMPDOR CORCELLES,Champdor-Corcelles
COMD,01080,,,CHAMPDOR,Champdor
COM,01081,84,01,CHAMPFROMIER,Champfromier
COM,01082,84,01,CHANAY,Chanay
COM,01083,84,01,CHANEINS,Chaneins
COM,01084,84,01,CHANOZ CHATENAY,Chanoz-Châtenay
COM,01085,84,01,CHAPELLE DU CHATELARD,La Chapelle-du-Châtelard
COM,01087,84,01,CHARIX,Charix
COM,01088,84,01,CHARNOZ SUR AIN,Charnoz-sur-Ain
COM,01089,84,01,CHATEAU GAILLARD,Château-Gaillard
COM,01090,84,01,CHATENAY,Châtenay
COMD,01091,,,CHATILLON EN MICHAILLE,Châtillon-en-Michaille
COM,01092,84,01,CHATILLON LA PALUD,Châtillon-la-Palud
COM,01093,84,01,CHATILLON SUR CHALARONNE,Châtillon-sur-Chalaronne
COM,01094,84,01,CHAVANNES SUR REYSSOUZE,Chavannes-sur-Reyssouze
COM,01095,84,01,NIVIGNE ET SURAN,Nivigne et Suran
COM,01096,84,01,CHAVEYRIAT,Chaveyriat
COMD,01097,,,CHAVORNAY,Chavornay
COM,01098,84,01,CHAZEY BONS,Chazey-Bons
COM,01099,84,01,CHAZEY SUR AIN,Chazey-sur-Ain
COM,01100,84,01,CHEIGNIEU LA BALME,Cheignieu-la-Balme
COM,01101,84,01,CHEVILLARD,Chevillard
COM,01102,84,01,CHEVROUX,Chevroux
COM,01103,84,01,CHEVRY,Chevry
COM,01104,84,01,CHEZERY FORENS,Chézery-Forens
COM,01105,84,01,CIVRIEUX,Civrieux
COM,01106,84,01,CIZE,Cize
COM,01107,84,01,CLEYZIEU,Cleyzieu
COM,01108,84,01,COLIGNY,Coligny
COM,01109,84,01,COLLONGES,Collonges
COM,01110,84,01,COLOMIEU,Colomieu
COM,01111,84,01,CONAND,Conand
COM,01112,84,01,CONDAMINE,Condamine
COM,01113,84,01,CONDEISSIAT,Condeissiat
COM,01114,84,01,CONFORT,Confort
COM,01115,84,01,CONFRANCON,Confrançon
COM,01116,84,01,CONTREVOZ,Contrevoz
COM,01117,84,01,CONZIEU,Conzieu
COM,01118,84,01,CORBONOD,Corbonod
COMD,01119,,,CORCELLES,Corcelles
COMA,01120,,,CORDIEUX,Cordieux
COM,01121,84,01,CORLIER,Corlier
COMD,01122,,,CORMARANCHE EN BUGEY,Cormaranche-en-Bugey
COM,01123,84,01,CORMORANCHE SUR SAONE,Cormoranche-sur-Saône
COM,01124,84,01,CORMOZ,Cormoz
COM,01125,84,01,CORVEISSIAT,Corveissiat
COM,01127,84,01,COURMANGOUX,Courmangoux
COM,01128,84,01,COURTES,Courtes
COM,01129,84,01,CRANS,Crans
COM,01130,84,01,BRESSE VALLONS,Bresse Vallons
COMD,01130,,,CRAS SUR REYSSOUZE,Cras-sur-Reyssouze
COM,01133,84,01,CRESSIN ROCHEFORT,Cressin-Rochefort
COM,01134,84,01,CROTTET,Crottet
COM,01135,84,01,CROZET,Crozet
COM,01136,84,01,CRUZILLES LES MEPILLAT,Cruzilles-lès-Mépillat
COMD,01137,,,CUISIAT,Cuisiat
COM,01138,84,01,CULOZ BEON,Culoz-Béon
COMD,01138,,,CULOZ,Culoz
COM,01139,84,01,CURCIAT DONGALON,Curciat-Dongalon
COM,01140,84,01,CURTAFOND,Curtafond
COM,01141,84,01,CUZIEU,Cuzieu
COM,01142,84,01,DAGNEUX,Dagneux
COM,01143,84,01,DIVONNE LES BAINS,Divonne-les-Bains
COMD,01144,,,DOMMARTIN,Dommartin
COM,01145,84,01,DOMPIERRE SUR VEYLE,Dompierre-sur-Veyle
COM,01146,84,01,DOMPIERRE SUR CHALARONNE,Dompierre-sur-Chalaronne
COM,01147,84,01,DOMSURE,Domsure
COM,01148,84,01,DORTAN,Dortan
COM,01149,84,01,DOUVRES,Douvres
COM,01150,84,01,DROM,Drom
COM,01151,84,01,DRUILLAT,Druillat
COM,01152,84,01,ECHALLON,Échallon
COM,01153,84,01,ECHENEVEX,Échenevex
COMD,01154,,,ETREZ,Étrez
COM,01155,84,01,EVOSGES,Évosges
COM,01156,84,01,FARAMANS,Faramans
COM,01157,84,01,FAREINS,Fareins
COM,01158,84,01,FARGES,Farges
COM,01159,84,01,FEILLENS,Feillens
COM,01160,84,01,FERNEY VOLTAIRE,Ferney-Voltaire
COM,01162,84,01,FLAXIEU,Flaxieu
COM,01163,84,01,FOISSIAT,Foissiat
COM,01165,84,01,FRANCHELEINS,Francheleins
COM,01166,84,01,FRANS,Frans
COM,01167,84,01,GARNERANS,Garnerans
COM,01169,84,01,GENOUILLEUX,Genouilleux
COM,01170,84,01,BEARD GEOVREISSIAT,Béard-Géovreissiat
COM,01171,84,01,GEOVREISSET,Géovreisset
COM,01173,84,01,GEX,Gex
COM,01174,84,01,GIRON,Giron
COM,01175,84,01,GORREVOD,Gorrevod
COM,01177,84,01,GRAND CORENT,Grand-Corent
COM,01179,84,01,GRIEGES,Grièges
COM,01180,84,01,GRILLY,Grilly
COM,01181,84,01,GROISSIAT,Groissiat
COMD,01182,,,GROSLEE,Groslée
COM,01183,84,01,GUEREINS,Guéreins
COM,01184,84,01,HAUTECOURT ROMANECHE,Hautecourt-Romanèche
COM,01185,84,01,PLATEAU D HAUTEVILLE,Plateau d'Hauteville
COMD,01185,,,HAUTEVILLE LOMPNES,Hauteville-Lompnes
COMD,01186,,,HOSTIAZ,Hostiaz
COM,01187,84,01,HAUT VALROMEY,Haut Valromey
COM,01188,84,01,ILLIAT,Illiat
COM,01189,84,01,INJOUX GENISSIAT,Injoux-Génissiat
COM,01190,84,01,INNIMOND,Innimond
COM,01191,84,01,IZENAVE,Izenave
COM,01192,84,01,IZERNORE,Izernore
COM,01193,84,01,IZIEU,Izieu
COM,01194,84,01,JASSANS RIOTTIER,Jassans-Riottier
COM,01195,84,01,JASSERON,Jasseron
COM,01196,84,01,JAYAT,Jayat
COM,01197,84,01,JOURNANS,Journans
COM,01198,84,01,JOYEUX,Joyeux
COM,01199,84,01,JUJURIEUX,Jujurieux
COM,01200,84,01,LABALME,Labalme
COM,01202,84,01,LAGNIEU,Lagnieu
COM,01203,84,01,LAIZ,Laiz
COM,01204,84,01,POIZAT LALLEYRIAT,Le Poizat-Lalleyriat
COMD,01204,,,LALLEYRIAT,Lalleyriat
COMD,01205,,,LANCRANS,Lancrans
COM,01206,84,01,LANTENAY,Lantenay
COM,01207,84,01,LAPEYROUSE,Lapeyrouse
COM,01208,84,01,LAVOURS,Lavours
COM,01209,84,01,LEAZ,Léaz
COM,01210,84,01,LELEX,Lélex
COM,01211,84,01,LENT,Lent
COM,01212,84,01,LESCHEROUX,Lescheroux
COM,01213,84,01,LEYMENT,Leyment
COM,01214,84,01,LEYSSARD,Leyssard
COM,01215,84,01,SURJOUX LHOPITAL,Surjoux-Lhopital
COMD,01215,,,LHOPITAL,Lhôpital
COM,01216,84,01,LHUIS,Lhuis
COMD,01218,,,LOCHIEU,Lochieu
COM,01219,84,01,LOMPNAS,Lompnas
COMD,01221,,,LOMPNIEU,Lompnieu
COM,01224,84,01,LOYETTES,Loyettes
COM,01225,84,01,LURCY,Lurcy
COM,01227,84,01,MAGNIEU,Magnieu
COM,01228,84,01,MAILLAT,Maillat
COM,01229,84,01,MALAFRETAZ,Malafretaz
COM,01230,84,01,MANTENAY MONTLIN,Mantenay-Montlin
COM,01231,84,01,MANZIAT,Manziat
COM,01232,84,01,MARBOZ,Marboz
COM,01233,84,01,MARCHAMP,Marchamp
COM,01234,84,01,MARIGNIEU,Marignieu
COM,01235,84,01,MARLIEUX,Marlieux
COM,01236,84,01,MARSONNAS,Marsonnas
