uai;nom_de_l_etablissement;nb_candidats_g;taux_de_reussite_g;taux_d_acces_6eme_3eme;nb_mentions_g;ips;ecart_type_de_l_ips
0010008D;COLLEGE SAINT-EXUPERY;133;92.0;96.0;93;95.1;31.5
0010024W;COLLEGE GEORGES CHARPAK;150;88.0;88.0;107;108.7;31.9
0010036J;COLLEGE ROGER VAILLAND;93;84.0;97.0;60;108.8;33.7
0010040N;COLLEGE LOUIS VUITTON;72;81.0;88.0;45;97.7;25.0
0010066S;COLLEGE JEAN MOULIN;144;93.0;97.0;115;118.2;35.1
0010082J;COLLEGE PRIVE SAINT PIERRE;210;100.0;85.0;207;123.9;29.9
0010084L;COLLEGE PRIVE SAINT CHARLES;33;88.0;71.0;17;112.7;29.7
0010095Y;COLLEGE PRIVE SAINT JOSEPH;119;97.0;92.0;97;117.7;28.8
0010938P;COLLEGE LES COTES;126;90.0;94.0;97;100.9;34.8
0011066D;COLLEGE LOUIS DUMONT;127;76.0;90.0;67;89.7;31.0
0011067E;COLLEGE SABINE ZLATIN;185;84.0;92.0;124;99.1;33.6
0011150V;COLLEGE PRIVE INSTITUTION SAINTE ANNE - LAMARTINE;90;97.0;88.0;79;115.3;28.5
0011275F;COLLEGE THOMAS RIBOUD;103;79.0;89.0;59;99.9;35.3
0011325K;COLLEGE THEODORE ROSSET;158;90.0;97.0;121;96.2;32.5
0020004U;COLLEGE JOSQUIN DES PRES;63;90.0;97.0;47;87.9;30.1
0020029W;COLLEGE ALEXANDRE DUMAS;63;86.0;99.0;46;103.1;29.4
0020037E;COLLEGE SUZANNE DEUTSCH DE LA MEURTHE;78;82.0;92.0;51;104.8;30.0
0020046P;COLLEGE DE LA CHESNOYE;65;92.0;96.0;54;107.1;31.9
0020067M;COLLEGE CONDORCET;81;89.0;94.0;57;88.8;30.0
0020076X;COLLEGE JEAN MOULIN;66;76.0;88.0;36;79.9;26.1
0020080B;COLLEGE PIERRE DE LA RAMEE;124;84.0;91.0;87;101.9;35.9
0020484R;COLLEGE PRIVE DE L ENFANT JESUS;34;100.0;66.0;32;102.4;26.2
0021490J;COLLEGE LOUISE MICHEL;75;85.0;91.0;48;89.6;25.3
0021525X;COLLEGE PRIVE SAINT PAUL;148;98.0;84.0;132;115.3;29.9
0021534G;COLLEGE ANNE FRANK;108;81.0;92.0;70;98.5;30.4
0021593W;COLLEGE JACQUES PREVERT;97;81.0;93.0;59;97.2;28.2
0021659T;COLLEGE JEAN MERMOZ;113;87.0;100.0;81;96.3;30.2
0021685W;COLLEGE LES FRERES LE NAIN;147;95.0;94.0;128;103.5;37.6
0021686X;COLLEGE FROEHLICHER;92;86.0;94.0;64;87.3;28.5
0021724N;COLLEGE JEAN RACINE;139;88.0;88.0;97;102.6;32.0
0021989B;COLLEGE FRANCOIS 1ER;85;92.0;97.0;67;94.5;31.0
0022131F;COLLEGE PRIVE SAINT ANTOINE;46;100.0;65.0;40;101.0;26.3
0030010V;COLLEGE MAURICE CONSTANTIN WEYER;138;95.0;91.0;109;92.0;35.0
0030023J;COLLEGE JULES VERNE;40;90.0;89.0;29;100.1;28.7
0030049M;COLLEGE LES CELESTINS;55;84.0;91.0;41;102.1;38.8
0030050N;COLLEGE JULES FERRY;109;79.0;87.0;70;94.6;32.5
0030081X;COLLEGE PRIVE SAINT BENOIT;50;84.0;87.0;30;108.4;28.8
0030091H;COLLEGE JEAN-JACQUES SOULIER;117;85.0;95.0;76;95.9;32.7
0030758H;COLLEGE JULES FERRY;113;78.0;81.0;71;102.0;38.1
0030860U;COLLEGE MARIE CURIE;105;89.0;91.0;75;97.6;31.0
0030979Y;COLLEGE PRIVE SAINT JOSEPH;101;99.0;92.0;91;118.6;29.3
0040004H;COLLEGE VERDON (DU);43;86.0;75.0;22;100.6;26.7
0040013T;COLLEGE MONT D'OR (LE);68;91.0;87.0;43;88.6;31.3
0040019Z;COLLEGE RENE CASSIN;42;86.0;87.0;31;101.5;28.8
0050043V;COLLEGE VAUBAN;131;96.0;91.0;106;115.0;29.7
0050639T;COLLEGE SIMONE VEIL;72;88.0;96.0;53;109.9;30.1
0060032C;COLLEGE SEGURANE;143;94.0;83.0;102;104.3;34.6
0060050X;COLLEGE VALERI;211;88.0;85.0;137;99.8;32.8
0060795G;COLLEGE SIDNEY BECHET;89;91.0;85.0;54;102.8;30.4
0061003H;COLLEGE JEAN ROSTAND;118;85.0;78.0;65;86.2;27.5
0061006L;COLLEGE HENRI MATISSE;249;93.0;90.0;200;123.8;34.8
0061068D;COLLEGE LES CAMPELIERES;175;97.0;87.0;134;101.1;32.6
0061238N;COLLEGE ANDRE MAUROIS;160;76.0;91.0;86;97.8;29.4
0061239P;COLLEGE PIERRE BONNARD;146;97.0;90.0;116;93.6;27.0
0061279H;COLLEGE LES VALLERGUES;117;84.0;87.0;69;80.3;26.2
0061400P;COLLEGE LUDOVIC BREA;122;90.0;94.0;94;105.3;30.5
0061457B;COLLEGE PRIVE STANISLAS;251;100.0;91.0;247;129.3;28.5
0061738G;COLLEGE SAINT EXUPERY;133;96.0;90.0;117;112.9;35.1
0061796V;COLLEGE PAUL ARENE;169;92.0;97.0;113;112.8;32.2
