nb_candidats_g,taux_de_reussite_g,taux_d_acces_6eme_3eme,nb_mentions_g,ips,ecart_type_de_l_ips
133,92.0,96.0,93,95.1,31.5
150,88.0,88.0,107,108.7,31.9
93,84.0,97.0,60,108.8,33.7
72,81.0,88.0,45,97.7,25.0
144,93.0,97.0,115,118.2,35.1
210,100.0,85.0,207,123.9,29.9
33,88.0,71.0,17,112.7,29.7
119,97.0,92.0,97,117.7,28.8
126,90.0,94.0,97,100.9,34.8
127,76.0,90.0,67,89.7,31.0
185,84.0,92.0,124,99.1,33.6
90,97.0,88.0,79,115.3,28.5
103,79.0,89.0,59,99.9,35.3
158,90.0,97.0,121,96.2,32.5
63,90.0,97.0,47,87.9,30.1
63,86.0,99.0,46,103.1,29.4
78,82.0,92.0,51,104.8,30.0
65,92.0,96.0,54,107.1,31.9
81,89.0,94.0,57,88.8,30.0
66,76.0,88.0,36,79.9,26.1
124,84.0,91.0,87,101.9,35.9
34,100.0,66.0,32,102.4,26.2
75,85.0,91.0,48,89.6,25.3
148,98.0,84.0,132,115.3,29.9
108,81.0,92.0,70,98.5,30.4
97,81.0,93.0,59,97.2,28.2
113,87.0,100.0,81,96.3,30.2
147,95.0,94.0,128,103.5,37.6
92,86.0,94.0,64,87.3,28.5
139,88.0,88.0,97,102.6,32.0
85,92.0,97.0,67,94.5,31.0
46,100.0,65.0,40,101.0,26.3
138,95.0,91.0,109,92.0,35.0
40,90.0,89.0,29,100.1,28.7
55,84.0,91.0,41,102.1,38.8
109,79.0,87.0,70,94.6,32.5
50,84.0,87.0,30,108.4,28.8
117,85.0,95.0,76,95.9,32.7
113,78.0,81.0,71,102.0,38.1
105,89.0,91.0,75,97.6,31.0
101,99.0,92.0,91,118.6,29.3
43,86.0,75.0,22,100.6,26.7
68,91.0,87.0,43,88.6,31.3
42,86.0,87.0,31,101.5,28.8
131,96.0,91.0,106,115.0,29.7
72,88.0,96.0,53,109.9,30.1
143,94.0,83.0,102,104.3,34.6
211,88.0,85.0,137,99.8,32.8
89,91.0,85.0,54,102.8,30.4
118,85.0,78.0,65,86.2,27.5
249,93.0,90.0,200,123.8,34.8
175,97.0,87.0,134,101.1,32.6
160,76.0,91.0,86,97.8,29.4
146,97.0,90.0,116,93.6,27.0
117,84.0,87.0,69,80.3,26.2
122,90.0,94.0,94,105.3,30.5
251,100.0,91.0,247,129.3,28.5
133,96.0,90.0,117,112.9,35.1
169,92.0,97.0,113,112.8,32.2
132,95.0,93.0,107,114.8,31.5
66,94.0,96.0,53,109.2,29.2
31,100.0,87.0,25,104.9,27.2
62,100.0,96.0,46,99.2,23.1
113,96.0,93.0,98,115.6,29.7
61,89.0,92.0,42,102.0,27.7
132,80.0,92.0,88,99.5,34.3
127,98.0,93.0,113,110.4,29.7
54,96.0,78.0,49,108.0,23.9
122,98.0,94.0,102,106.1,27.3
61,89.0,82.0,45,95.7,34.2
43,86.0,90.0,29,95.4,28.9
61,69.0,85.0,36,83.2,28.1
52,77.0,91.0,25,70.5,20.4
67,76.0,87.0,40,78.8,25.9
59,83.0,91.0,41,66.2,20.4
70,83.0,95.0,38,84.2,28.1
40,78.0,95.0,26,92.2,29.2
33,100.0,84.0,28,106.1,26.7
60,85.0,90.0,39,92.1,28.4
105,94.0,96.0,83,99.9,32.0
80,99.0,87.0,67,116.3,28.6
129,72.0,94.0,71,93.1,28.0
81,88.0,94.0,60,99.9,26.1
87,82.0,90.0,59,102.2,30.5
121,69.0,91.0,67,87.8,30.9
144,76.0,84.0,90,99.3,34.2
76,93.0,91.0,63,111.7,27.4
55,95.0,78.0,46,116.7,29.8
150,81.0,87.0,101,96.5,32.6
188,88.0,94.0,134,107.9,31.9
154,77.0,87.0,89,78.9,27.6
58,91.0,94.0,38,103.9,28.5
53,94.0,83.0,39,107.9,28.7
33,97.0,87.0,27,109.1,26.3
30,100.0,100.0,28,99.6,21.4
55,100.0,91.0,44,104.6,25.7
107,94.0,85.0,90,100.3,32.0
147,90.0,91.0,92,108.5,34.5
111,93.0,91.0,93,133.9,40.2
74,82.0,86.0,34,70.2,18.5
105,82.0,89.0,63,59.0,16.9
123,89.0,92.0,82,101.8,34.5
60,98.0,73.0,48,101.3,24.3
167,93.0,89.0,126,121.9,34.6
77,92.0,92.0,51,99.3,25.4
95,72.0,88.0,44,76.8,24.0
56,79.0,92.0,27,76.8,20.7
102,89.0,86.0,68,65.4,21.2
128,79.0,90.0,59,74.2,24.1
183,90.0,93.0,117,97.6,27.7
92,65.0,87.0,37,60.6,16.1
175,89.0,96.0,123,112.4,36.0
159,96.0,96.0,124,131.9,35.5
184,100.0,94.0,184,146.6,17.8
57,100.0,79.0,46,116.4,30.1
127,99.0,90.0,120,122.9,28.4
235,99.0,95.0,206,118.7,33.9
166,93.0,100.0,129,120.4,32.6
92,87.0,89.0,67,89.9,32.6
51,98.0,85.0,48,124.9,28.5
186,93.0,92.0,142,124.1,34.0
131,91.0,94.0,97,123.2,33.4
151,89.0,92.0,94,98.8,32.8
56,100.0,71.0,56,103.5,25.3
123,93.0,94.0,92,110.6,38.4
130,74.0,83.0,63,88.1,27.2
88,100.0,88.0,88,141.0,24.0
109,94.0,98.0,76,108.0,39.5
112,87.0,96.0,68,100.8,27.5
78,92.0,95.0,48,101.9,29.2
37,92.0,84.0,27,104.9,26.1
151,98.0,91.0,132,121.9,27.3
32,100.0,75.0,27,100.6,26.2
130,85.0,89.0,88,82.5,30.4
50,96.0,79.0,44,86.7,25.2
85,95.0,82.0,64,91.3,27.5
120,92.0,92.0,89,111.0,31.4
172,95.0,91.0,131,107.1,32.8
61,97.0,88.0,48,98.4,24.6
102,97.0,91.0,81,101.4,30.3
58,91.0,92.0,43,100.8,30.6
78,97.0,93.0,67,100.7,28.8
